hospital_Name,hospital_ID,ph_no
AIIMS,H101,+91 9473827221
Fortis Escorts Heart Institute - Okhla Road,H102,+09 0099 8888
Tata Memorial Hospital,H103,+00 8990 3333
Adventist HealthCare White Oak Medical Center,H104,+91 8765987341
Baptist Health Medical Center - North Little Rock,H105,+0 9009 9009
Indian Spinal Injuries Hopital,H106,+91 8700909911
Chritian Medical College(CMC) - Vellore,H107,+09 8888 2222
Fortis Escorts Heart Institute - Okhla Road,H108,+91 9098745699
Columbia Asia Referral Hospital - Yeshwanthpur,H109,+91 9488276679
MaxCure HealthCare Specialized Hospita - Hyderabad,H110,+91 7845362600